UID	BLANK	GWEIGHT	2A4SA	2A4SA(2)	2A0SB	2A0SA	2A4SB	2A10SB	2A10SB-20	1A17SA	1A17SA-12	2A0SB(2)	2C0SB	2C7SA	1A7SB	2A10SA	2C10SA
MR-5 MC-4 R-9 C-5		1	3349.579338	488.071215	864.5636742	2123.756849	2388.579321	2517.409259	1617.493427	764.0646378	1865.806688	2525.403931	2513.257677	1615.788765	1915.089083	1487.532407	1298.705051
MR-5 MC-4 R-9 C-6		1	2735.615202	689.2312977	2316.534919	2171.866379	1586.962963	2518.200515	1707.594378	1071.687519	2219.695097	2179.466342	1670.401786	1686.69311	2710.278789	1371.46562	1727.622061
MR-5 MC-4 R-9 C-7		1	2464.732136	783.6500052	1540.38022	2062.081165	1527.088192	2130.653886	1484.949529	1045.906589	2175.42398	2344.161039	1735.902409	1237.341207	1953.398383	1160.013195	1440.74394
MR-5 MC-4 R-9 C-8		1	7526.760106	769.3837796	1722.062917	3343.205852	4191.911094	3849.616017	2230.558494	850.5715742	2605.639262	3277.82949	2671.465543	2120.378493	2260.035097	1469.255358	1677.170227
MR-5 MC-4 R-9 C-9		1	1931.386499	397.3227463	1638.625631	1769.234452	1337.368934	1821.657971	1721.398749	510.4204416	1282.79881	2148.234483	1714.241058	1069.557189	1376.172148	1744.477625	1592.016216
MR-5 MC-4 R-9 C-10		1	760.8580757	135.975	250.8276018	645.000232	497.4457895	543.805194	527.5544611	153.9259849	521.5771988	538.4906103	621.898189	474.3248523	530.6619963	491.2984848	445.3332016
MR-5 MC-4 R-9 C-11		1	2486.545319	614.5233403	1163.220398	1761.93573	2095.765591	2595.131253	1760.290679	489.7817208	2421.543332	2319.753935	1796.235331	1514.759272	1416.144647	1495.676534	1406.351194
MR-5 MC-4 R-9 C-12		1	5728.303284	1681.486239	2784.172687	3790.730233	5132.291608	4939.036232	3386.474457	1517.13085	6747.95537	6819.504405	4152.705842	3436.49212	4058.207518	3140.907488	2784.405837
MR-5 MC-4 R-9 C-13		1	2574.035121	521.9551077	817.1933836	1304.523989	1793.61208	1140.210749	946.279838	486.9342366	2009.563707	1700.837339	1408.274813	718.0678714	823.587164	636.5426582	646.0652036
MR-5 MC-4 R-9 C-14		1	1119.528052	247.9115903	412.3287671	996.458603	826.5638179	1176.9375	1022.46224	340.2647059	1073.282683	869.1792293	882.2296809	743.3109724	1048.592504	618.4048712	450.8479469
MR-5 MC-4 R-9 C-15		1	5708.870868	868.8986928	1754.066546	3156.658921	2475.758977	4329.730145	2736.512886	925.6060811	2851.277596	3098.943357	2612.771448	2090.689084	2083.563304	1982.698316	2029.22399
